datetime,flow
2020-06-01T00:00:00Z,0
2020-06-01T00:01:00Z,0.119086
2020-06-01T00:02:00Z,0.06484
2020-06-01T00:03:00Z,0.03039
2020-06-01T00:04:00Z,0.018442
2020-06-01T00:05:00Z,0.012442
2020-06-01T00:06:00Z,0.008956
2020-06-01T00:07:00Z,0.006741
2020-06-01T00:08:00Z,0.005246
2020-06-01T00:09:00Z,0.004189
2020-06-01T00:10:00Z,0.003415
2020-06-01T00:11:00Z,0.002832
2020-06-01T00:12:00Z,0.002382
2020-06-01T00:13:00Z,0.002028
2020-06-01T00:14:00Z,0.001745
2020-06-01T00:15:00Z,0.001516
2020-06-01T00:16:00Z,0.001327
2020-06-01T00:17:00Z,0.00117
2020-06-01T00:18:00Z,0.001038
2020-06-01T00:19:00Z,9.27e-4
2020-06-01T00:20:00Z,8.31e-4
2020-06-01T00:21:00Z,7.5e-4
2020-06-01T00:22:00Z,6.79e-4
2020-06-01T00:23:00Z,6.17e-4
2020-06-01T00:24:00Z,5.63e-4
2020-06-01T00:25:00Z,5.15e-4
2020-06-01T00:26:00Z,4.73e-4
2020-06-01T00:27:00Z,4.36e-4
2020-06-01T00:28:00Z,4.03e-4
2020-06-01T00:29:00Z,3.73e-4
2020-06-01T00:30:00Z,3.46e-4
2020-06-01T00:31:00Z,3.22e-4
2020-06-01T00:32:00Z,3e-4
2020-06-01T00:33:00Z,2.8e-4
2020-06-01T00:34:00Z,2.62e-4
2020-06-01T00:35:00Z,2.46e-4
2020-06-01T00:36:00Z,2.31e-4
2020-06-01T00:37:00Z,2.17e-4
2020-06-01T00:38:00Z,2.05e-4
2020-06-01T00:39:00Z,1.93e-4
2020-06-01T00:40:00Z,1.82e-4
2020-06-01T00:41:00Z,1.72e-4
2020-06-01T00:42:00Z,1.63e-4
2020-06-01T00:43:00Z,1.55e-4
2020-06-01T00:44:00Z,1.47e-4
2020-06-01T00:45:00Z,1.4e-4
2020-06-01T00:46:00Z,1.33e-4
2020-06-01T00:47:00Z,1.26e-4
2020-06-01T00:48:00Z,1.21e-4
2020-06-01T00:49:00Z,1.15e-4
2020-06-01T00:50:00Z,1.1e-4
2020-06-01T00:51:00Z,1.05e-4
2020-06-01T00:52:00Z,1e-4
2020-06-01T00:53:00Z,9.6e-5
2020-06-01T00:54:00Z,9.2e-5
2020-06-01T00:55:00Z,8.8e-5
2020-06-01T00:56:00Z,8.5e-5
2020-06-01T00:57:00Z,8.1e-5
2020-06-01T00:58:00Z,7.8e-5
2020-06-01T00:59:00Z,7.5e-5
2020-06-01T01:00:00Z,7.2e-5
2020-06-01T01:01:00Z,6.9e-5
2020-06-01T01:02:00Z,6.7e-5
2020-06-01T01:03:00Z,6.4e-5
2020-06-01T01:04:00Z,6.2e-5
2020-06-01T01:05:00Z,6e-5
2020-06-01T01:06:00Z,5.8e-5
2020-06-01T01:07:00Z,5.6e-5
